    Energy    <xanes>    
  -10.0000  3.1173969E-05
  -9.00000  3.4362579E-05
  -8.00000  3.8289346E-05
  -7.00000  4.3249656E-05
  -6.00000  4.9722738E-05
  -5.00000  5.8541984E-05
  -4.00000  7.1298241E-05
  -3.00000  9.1458390E-05
  -2.00000  1.2830020E-04
  -1.00000  2.1764563E-04
   0.00000  6.0504252E-04
   0.50000  1.0021457E-03
   1.00000  1.3599622E-03
   1.50000  1.6057715E-03
   2.00000  1.7429239E-03
   2.50000  1.7927089E-03
   3.00000  1.7874242E-03
   3.50000  1.7797904E-03
   4.00000  1.7566495E-03
   4.50000  1.7055996E-03
   5.00000  1.6474991E-03
   5.50000  1.6221626E-03
   6.00000  1.6635228E-03
   6.50000  1.7285663E-03
   7.00000  1.7577822E-03
   7.50000  1.7672251E-03
   8.00000  1.7711859E-03
   8.50000  1.7858574E-03
   9.00000  1.8306647E-03
   9.50000  1.9116500E-03
   10.0000  2.0197175E-03
   11.0000  2.2398438E-03
   12.0000  2.3340278E-03
   13.0000  2.3024896E-03
   14.0000  2.2704737E-03
   15.0000  2.2696171E-03
   16.0000  2.2911293E-03
   17.0000  2.3214860E-03
   18.0000  2.3147320E-03
   19.0000  2.2513417E-03
   20.0000  2.1605775E-03
   21.0000  2.0795960E-03
   22.0000  2.0231372E-03
   23.0000  1.9882523E-03
   24.0000  1.9678876E-03
   25.0000  1.9574012E-03
   26.0000  1.9547638E-03
   27.0000  1.9589438E-03
   28.0000  1.9690638E-03
   29.0000  1.9844824E-03
   30.0000  2.0050072E-03
   31.0000  2.0307580E-03
   32.0000  2.0616914E-03
   33.0000  2.0970883E-03
   34.0000  2.1353575E-03
   35.0000  2.1742998E-03
   36.0000  2.2116378E-03
   37.0000  2.2454093E-03
   38.0000  2.2739910E-03
   39.0000  2.2959139E-03
   40.0000  2.3098015E-03
   41.0000  2.3145579E-03
   42.0000  2.3096661E-03
   43.0000  2.2954090E-03
   44.0000  2.2729274E-03
   45.0000  2.2441177E-03
   46.0000  2.2114249E-03
   47.0000  2.1775831E-03
   48.0000  2.1453342E-03
   49.0000  2.1171335E-03
   50.0000  2.0948727E-03
   52.0000  2.0718038E-03
   54.0000  2.0751603E-03
   56.0000  2.0941854E-03
   58.0000  2.1160751E-03
   60.0000  2.1321686E-03
   62.0000  2.1395236E-03
   64.0000  2.1397972E-03
   66.0000  2.1371990E-03
   68.0000  2.1365023E-03
   70.0000  2.1415366E-03
   72.0000  2.1543378E-03
   74.0000  2.1751257E-03
   76.0000  2.2026559E-03
   78.0000  2.2344703E-03
   80.0000  2.2671397E-03
   82.0000  2.2966755E-03
   84.0000  2.3191037E-03
   86.0000  2.3311412E-03
   88.0000  2.3308766E-03
   90.0000  2.3183165E-03
   92.0000  2.2956100E-03
   94.0000  2.2667118E-03
   96.0000  2.2363660E-03
   98.0000  2.2086930E-03
   100.000  2.1860637E-03
